company_name,company_name_ch,company_number,company_category,country_of_origin,incorporated,uri,primary_node,node_label,chain_position,secondary_node,review_needed,review_reason,sic_codes_full,matched_sic_code,matched_sic_text,sic_confidence,sic_tier,sic_source,oecd_activity_category,requires_defence_check,website,description,location_hint,ukspacetech_category,address_line1,address_line2,post_town,county,country,postcode,source_ch,source_uksd,source_scc,source_esa,source_website,supply_hierarchy,defence_primary,space_peripheral,ch_verified,notes,data_collection_date,extraction_source,match_type,confidence_level,primary_node_original,ch_name,ch_status,ch_type,ch_sic_codes,ch_postcode,ch_locality,ch_region,ch_country,ch_incorporated,pipeline_status,pipeline_reason,pipeline_date,ukspace_category,ukspace_profile_url,source_ukspace,space_probability,ml_classification_date,ml_version,classification_reason
100% INVOICE LTD,100% INVOICE LTD,16960839,Private Limited Company,United Kingdom,13/01/2026,http://business.data.gov.uk/id/company/16960839,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,"Source 1 only — node assignment from SIC code, not verified.",33160 - Repair and maintenance of aircraft and spacecraft | nan | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,"167-169 GREAT PORTLAND STREET, 5TH FLOOR",,LONDON,,ENGLAND,W1W 5PF,Yes,No,,,,,,Yes,Yes,Source 1 only (CH Bulk). Node indicative from SIC match.,2026-07-21,CH_BULK,source1_only,Low,,100% INVOICE LTD,active,ltd,33160,W1W 5PF,London,,England,2026-01-13,review,SIC 33160.0 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-22,,,,,,,SIC 33160 — no space keyword — aviation default
777 AERO LTD,777 AERO LTD,16391678,Private Limited Company,United Kingdom,16/04/2025,http://business.data.gov.uk/id/company/16391678,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,33160 - Repair and maintenance of aircraft and spacecraft | nan | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,19 GONSLEY CLOSE,,CHESTER,,UNITED KINGDOM,CH2 2DT,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,777 AERO LTD,active,ltd,33160,CH2 2DT,Chester,,United Kingdom,2025-04-16,review,SIC 33160 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.6333685599207451,2026-07-23,v2,SIC 33160 — no space keyword — aviation default
A & K STAR SHIP LTD,A & K STAR SHIP LTD,16987477,Private Limited Company,United Kingdom,26/01/2026,http://business.data.gov.uk/id/company/16987477,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,33160 - Repair and maintenance of aircraft and spacecraft | nan | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,3 ANDERSON COURT,NEWNHAM ROAD,CAMBRIDGE,CAMBRIDGESHIRE,UNITED KINGDOM,CB3 9EZ,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,A & K STAR SHIP LTD,active,ltd,33160,CB3 9EZ,Cambridge,Cambridgeshire,United Kingdom,2026-01-26,review,SIC 33160 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.4964505200935738,2026-07-23,v2,SIC 33160 — no space keyword — aviation default
A C AVIATION LTD,A C AVIATION LTD,15978345,Private Limited Company,United Kingdom,25/09/2024,http://business.data.gov.uk/id/company/15978345,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,33160 - Repair and maintenance of aircraft and spacecraft | nan | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,2 THE PRECINCT,,PORTHCAWL,,WALES,CF36 3RF,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,A C AVIATION LTD,active,ltd,33160,CF36 3RF,Porthcawl,,Wales,2024-09-25,review,SIC 33160 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.4954660022877815,2026-07-23,v2,SIC 33160 — no space keyword — aviation default
A G H AVIATION SERVICES LIMITED,A G H AVIATION SERVICES LIMITED,17211393,Private Limited Company,United Kingdom,11/05/2026,http://business.data.gov.uk/id/company/17211393,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,33160 - Repair and maintenance of aircraft and spacecraft | nan | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,FLAT 102 STATION ROAD,LLANDAFF NORTH,CARDIFF,,WALES,CF14 2FH,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,A G H AVIATION SERVICES LIMITED,active,ltd,33160,CF14 2FH,Cardiff,,Wales,2026-05-11,review,SIC 33160 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.3708132753748002,2026-07-23,v2,SIC 33160 — no space keyword — aviation default
A JONES AIRCRAFT MAINTENANCE SERVICES LTD,A JONES AIRCRAFT MAINTENANCE SERVICES LTD,14424442,Private Limited Company,United Kingdom,17/10/2022,http://business.data.gov.uk/id/company/14424442,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,33160 - Repair and maintenance of aircraft and spacecraft | nan | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,9 ROCKCLIFFE,,SOUTH SHIELDS,,UNITED KINGDOM,NE33 3JH,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,A JONES AIRCRAFT MAINTENANCE SERVICES LTD,active,ltd,33160,NE33 3JH,South Shields,,United Kingdom,2022-10-17,review,SIC 33160 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.3992353576245608,2026-07-23,v2,SIC 33160 — no space keyword — aviation default
A MUNRO AIRCRAFT ENGINEER LTD,A MUNRO AIRCRAFT ENGINEER LTD,SC866900,Private Limited Company,United Kingdom,20/10/2025,http://business.data.gov.uk/id/company/SC866900,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,33160 - Repair and maintenance of aircraft and spacecraft | nan | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,MUNRO HOUSE,RHICONICH,LAIRG,,SCOTLAND,IV27 4RS,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,A MUNRO AIRCRAFT ENGINEER LTD,active,ltd,33160,IV27 4RS,Lairg,,Scotland,2025-10-20,review,SIC 33160 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.650313181562775,2026-07-23,v2,SIC 33160 — no space keyword — aviation default
A ROLING ELECTRICAL SERVICES LIMITED,A ROLING ELECTRICAL SERVICES LIMITED,09769007,Private Limited Company,United Kingdom,09/09/2015,http://business.data.gov.uk/id/company/09769007,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,33160 - Repair and maintenance of aircraft and spacecraft | 43210 - Electrical installation | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,OFFICE B CHESIL HOUSE ARROW CLOSE,BOYATT WOOD,EASTLEIGH,HAMPSHIRE,ENGLAND,SO50 4SY,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,A ROLING ELECTRICAL SERVICES LIMITED,active,ltd,"33160, 43210",SO50 4SY,Eastleigh,Hampshire,England,2015-09-09,review,SIC 33160 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.4296045444399946,2026-07-23,v2,SIC 33160 — no space keyword — aviation default
A T AVIATION (ENGINEERING) LIMITED,A T AVIATION (ENGINEERING) LIMITED,11347825,Private Limited Company,United Kingdom,06/05/2018,http://business.data.gov.uk/id/company/11347825,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,33160 - Repair and maintenance of aircraft and spacecraft | nan | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,RUBIS HOUSE,15 FRIARN STREET,BRIDGWATER,,ENGLAND,TA6 3LH,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,A T AVIATION (ENGINEERING) LIMITED,active,ltd,33160,TA6 3LH,Bridgwater,,England,2018-05-06,review,SIC 33160 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.5500704777510907,2026-07-23,v2,SIC 33160 — no space keyword — aviation default
A&L TECHNICS LTD,A&L TECHNICS LTD,16576123,Private Limited Company,United Kingdom,11/07/2025,http://business.data.gov.uk/id/company/16576123,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,30300 - Manufacture of air and spacecraft and related machinery | 33160 - Repair and maintenance of aircraft and spacecraft | nan | nan,30300.0,30300 - Manufacture of air and spacecraft and related machinery,High,Tier 1,ONS SIC 2007 index: space shuttles (manufacture),,Yes,,,,,3 ANDERSON COURT,NEWNHAM ROAD,CAMBRIDGE,CAMBRIDGESHIRE,ENGLAND,CB3 9EZ,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,A&L TECHNICS LTD,active,ltd,"30300, 33160",CB3 9EZ,Cambridge,Cambridgeshire,England,2025-07-11,review,SIC 30300 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.8709114209630388,2026-07-23,v2,SIC 30300 — no space keyword — aviation default
A&P AVIATION SERVICES LTD,A&P AVIATION SERVICES LTD,16891554,Private Limited Company,United Kingdom,04/12/2025,http://business.data.gov.uk/id/company/16891554,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,33160 - Repair and maintenance of aircraft and spacecraft | nan | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,59 MAIN STREET,,RUNCORN,,UNITED KINGDOM,WA7 2AT,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,A&P AVIATION SERVICES LTD,active,ltd,33160,WA7 2AT,Runcorn,,United Kingdom,2025-12-04,review,SIC 33160 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.376249494749627,2026-07-23,v2,SIC 33160 — no space keyword — aviation default
A. CREED ENGINEERING LTD,A. CREED ENGINEERING LTD,16785736,Private Limited Company,United Kingdom,15/10/2025,http://business.data.gov.uk/id/company/16785736,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,30300 - Manufacture of air and spacecraft and related machinery | 33160 - Repair and maintenance of aircraft and spacecraft | nan | nan,30300.0,30300 - Manufacture of air and spacecraft and related machinery,High,Tier 1,ONS SIC 2007 index: space shuttles (manufacture),,Yes,,,,,F20 STIRLING HOUSE DENNY END ROAD,WATERBEACH,CAMBRIDGE,CAMBRIDGESHIRE,ENGLAND,CB25 9PB,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,A. CREED ENGINEERING LTD,active,ltd,"30300, 33160",CB25 9PB,Cambridge,Cambridgeshire,England,2025-10-15,review,SIC 30300 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.8453045957688562,2026-07-23,v2,SIC 30300 — no space keyword — aviation default
A.J. DEW LTD,A.J. DEW LTD,16106229,Private Limited Company,United Kingdom,27/11/2024,http://business.data.gov.uk/id/company/16106229,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,33160 - Repair and maintenance of aircraft and spacecraft | nan | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,"F20, STIRLING HOUSE DENNY END ROAD",WATERBEACH,CAMBRIDGE,CAMBRIDGESHIRE,ENGLAND,CB25 9PB,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,A.J. DEW LTD,active,ltd,33160,CB25 9PB,Cambridge,Cambridgeshire,England,2024-11-27,review,SIC 33160 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.5305404453503689,2026-07-23,v2,SIC 33160 — no space keyword — aviation default
A.J.D. ENGINEERING LIMITED,A.J.D. ENGINEERING LIMITED,01823863,Private Limited Company,United Kingdom,12/06/1984,http://business.data.gov.uk/id/company/01823863,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,30300 - Manufacture of air and spacecraft and related machinery | nan | nan | nan,30300.0,30300 - Manufacture of air and spacecraft and related machinery,High,Tier 1,ONS SIC 2007 index: space shuttles (manufacture),,Yes,,,,,89 HIGH STREET,HADLEIGH,IPSWICH,SUFFOLK,,IP7 5EA,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,A.J.D. ENGINEERING LIMITED,active,ltd,30300,IP7 5EA,Ipswich,Suffolk,,1984-06-12,review,SIC 30300 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.9180943863904668,2026-07-23,v2,SIC 30300 — no space keyword — aviation default
A.J.P. AVIATION LTD,A.J.P. AVIATION LTD,06747928,Private Limited Company,United Kingdom,12/11/2008,http://business.data.gov.uk/id/company/06747928,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,33160 - Repair and maintenance of aircraft and spacecraft | nan | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,74 LANE END,CORSLEY,WARMINSTER,,ENGLAND,BA12 7PG,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,A.J.P. AVIATION LTD,active,ltd,33160,BA12 7PG,Warminster,,England,2008-11-12,review,SIC 33160 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.5125327764718681,2026-07-23,v2,SIC 33160 — no space keyword — aviation default
A.M. AVIATION SERVICES LTD,A.M. AVIATION SERVICES LTD,10345478,Private Limited Company,United Kingdom,25/08/2016,http://business.data.gov.uk/id/company/10345478,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,33160 - Repair and maintenance of aircraft and spacecraft | nan | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,1 BLENHEIM CLOSE,,HAVERHILL,,UNITED KINGDOM,CB9 0AD,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,A.M. AVIATION SERVICES LTD,active,ltd,33160,CB9 0AD,Haverhill,,United Kingdom,2016-08-25,review,SIC 33160 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.3865148787939814,2026-07-23,v2,SIC 33160 — no space keyword — aviation default
A2B HELI (MAINTENANCE) LTD,A2B HELI (MAINTENANCE) LTD,08611150,Private Limited Company,United Kingdom,16/07/2013,http://business.data.gov.uk/id/company/08611150,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,33160 - Repair and maintenance of aircraft and spacecraft | nan | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,HANGAR 5,KINGS MILL LANE,REDHILL,,ENGLAND,RH1 5JY,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,A2B HELI (MAINTENANCE) LTD,active,ltd,33160,RH1 5JY,Redhill,,England,2013-07-16,review,SIC 33160 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.5213341435588392,2026-07-23,v2,SIC 33160 — no space keyword — aviation default
AAB AVIATION LTD,AAB AVIATION LTD,12761712,Private Limited Company,United Kingdom,22/07/2020,http://business.data.gov.uk/id/company/12761712,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,33160 - Repair and maintenance of aircraft and spacecraft | nan | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,17 COTTESBROOKE PARK,HEARTLANDS BUSINESS PARK,DAVENTRY,,ENGLAND,NN11 8YL,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,AAB AVIATION LTD,active,ltd,33160,NN11 8YL,Daventry,,England,2020-07-22,review,SIC 33160 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.4893533624775451,2026-07-23,v2,SIC 33160 — no space keyword — aviation default
AAG DS LIMITED,AAG DS LIMITED,03951235,Private Limited Company,United Kingdom,20/03/2000,http://business.data.gov.uk/id/company/03951235,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,33160 - Repair and maintenance of aircraft and spacecraft | nan | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,MANOR FARM HOUSE,ECCLESDEN LANE,ANGMERING,WEST SUSSEX,ENGLAND,BN16 4DQ,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,AAG DS LIMITED,active,ltd,33160,BN16 4DQ,Angmering,West Sussex,England,2000-03-20,review,SIC 33160 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.5520157057151394,2026-07-23,v2,SIC 33160 — no space keyword — aviation default
AALMEIDA LTD,AALMEIDA LTD,16990209,Private Limited Company,United Kingdom,27/01/2026,http://business.data.gov.uk/id/company/16990209,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,33160 - Repair and maintenance of aircraft and spacecraft | nan | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,3 ANDERSON COURT,NEWNHAM ROAD,CAMBRIDGE,CAMBRIDGESHIRE,UNITED KINGDOM,CB3 9EZ,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,AALMEIDA LTD,active,ltd,33160,CB3 9EZ,Cambridge,Cambridgeshire,United Kingdom,2026-01-27,review,SIC 33160 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.5597272021066764,2026-07-23,v2,SIC 33160 — no space keyword — aviation default
AAMO LIMITED,AAMO LIMITED,14688366,Private Limited Company,United Kingdom,24/02/2023,http://business.data.gov.uk/id/company/14688366,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,33160 - Repair and maintenance of aircraft and spacecraft | nan | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,FLAT 9 EDGEHILL HOUSE,FAIRFAX AVENUE,REDHILL,,ENGLAND,RH1 1HU,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,AAMO LIMITED,active,ltd,33160,RH1 1HU,Redhill,,England,2023-02-24,review,SIC 33160 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.5794520634449597,2026-07-23,v2,SIC 33160 — no space keyword — aviation default
AARK AVIATION LTD,AARK AVIATION LTD,14210222,Private Limited Company,United Kingdom,02/07/2022,http://business.data.gov.uk/id/company/14210222,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,33160 - Repair and maintenance of aircraft and spacecraft | nan | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,15 SUNNY HILL,,BUNTINGFORD,HERTFORDSHIRE,ENGLAND,SG9 9HR,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,AARK AVIATION LTD,active,ltd,33160,SG9 9HR,Buntingford,Hertfordshire,England,2022-07-02,review,SIC 33160 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.5090197117583314,2026-07-23,v2,SIC 33160 — no space keyword — aviation default
AARON COMPOSITE SERVICES LTD,AARON COMPOSITE SERVICES LTD,14547705,Private Limited Company,United Kingdom,19/12/2022,http://business.data.gov.uk/id/company/14547705,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,33160 - Repair and maintenance of aircraft and spacecraft | nan | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,86 HOPTON ROAD,,STEVENAGE,,ENGLAND,SG1 2LG,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,AARON COMPOSITE SERVICES LTD,active,ltd,33160,SG1 2LG,Stevenage,,England,2022-12-19,review,SIC 33160 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.4941016217241212,2026-07-23,v2,SIC 33160 — no space keyword — aviation default
