company_name,company_name_ch,company_number,company_category,country_of_origin,incorporated,uri,primary_node,node_label,chain_position,secondary_node,review_needed,review_reason,sic_codes_full,matched_sic_code,matched_sic_text,sic_confidence,sic_tier,sic_source,oecd_activity_category,requires_defence_check,website,description,location_hint,ukspacetech_category,address_line1,address_line2,post_town,county,country,postcode,source_ch,source_uksd,source_scc,source_esa,source_website,supply_hierarchy,defence_primary,space_peripheral,ch_verified,notes,data_collection_date,extraction_source,match_type,confidence_level,primary_node_original,ch_name,ch_status,ch_type,ch_sic_codes,ch_postcode,ch_locality,ch_region,ch_country,ch_incorporated,pipeline_status,pipeline_reason,pipeline_date,ukspace_category,ukspace_profile_url,source_ukspace,space_probability,ml_classification_date,ml_version,classification_reason
SHRAMAIR LIMITED,SHRAMAIR LIMITED,05306066,Private Limited Company,United Kingdom,07/12/2004,http://business.data.gov.uk/id/company/05306066,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,33160 - Repair and maintenance of aircraft and spacecraft | nan | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,2ND FLOOR  CROWN HOUSE,37 HIGH STREET,EAST GRINSTEAD,WEST SUSSEX,,RH19 3AF,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,SHRAMAIR LIMITED,active,ltd,33160,RH19 3AF,East Grinstead,West Sussex,,2004-12-07,review,SIC 33160 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.567831580236711,2026-07-23,v2,SIC 33160 — no space keyword — aviation default
SHROPSHIRE AIRCRAFT PAINTING LIMITED,SHROPSHIRE AIRCRAFT PAINTING LIMITED,12027598,Private Limited Company,United Kingdom,03/06/2019,http://business.data.gov.uk/id/company/12027598,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,33160 - Repair and maintenance of aircraft and spacecraft | nan | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,27 BADGER CRESCENT,,WHITCHURCH,,UNITED KINGDOM,SY13 4JL,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,SHROPSHIRE AIRCRAFT PAINTING LIMITED,active,ltd,33160,SY13 4JL,Whitchurch,,United Kingdom,2019-06-03,review,SIC 33160 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.5738014198689919,2026-07-23,v2,SIC 33160 — no space keyword — aviation default
SICNIX LTD.,SICNIX LTD.,16511751,Private Limited Company,United Kingdom,11/06/2025,http://business.data.gov.uk/id/company/16511751,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,"27110 - Manufacture of electric motors, generators and transformers | 27900 - Manufacture of other electrical equipment | 30300 - Manufacture of air and spacecraft and related machinery | nan",30300.0,30300 - Manufacture of air and spacecraft and related machinery,High,Tier 1,ONS SIC 2007 index: space shuttles (manufacture),,Yes,,,,,61 BRIDGE STREET,,KINGTON,HEREFORDSHIRE,UNITED KINGDOM,HR5 3DJ,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,SICNIX LTD.,active,ltd,"27110, 27900, 30300",HR5 3DJ,Kington,Herefordshire,United Kingdom,2025-06-11,review,SIC 30300 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.8894364705305847,2026-07-23,v2,SIC 30300 — no space keyword — aviation default
SILKMOD LTD,SILKMOD LTD,16688365,Private Limited Company,United Kingdom,02/09/2025,http://business.data.gov.uk/id/company/16688365,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,30300 - Manufacture of air and spacecraft and related machinery | nan | nan | nan,30300.0,30300 - Manufacture of air and spacecraft and related machinery,High,Tier 1,ONS SIC 2007 index: space shuttles (manufacture),,Yes,,,,,29 STACKPOOL ROAD,,BRISTOL,,ENGLAND,BS3 1NG,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,SILKMOD LTD,active,ltd,30300,BS3 1NG,Bristol,,England,2025-09-02,review,SIC 30300 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.893178114965866,2026-07-23,v2,SIC 30300 — no space keyword — aviation default
SIMERA SENSE UK LTD,SIMERA SENSE UK LTD,SC823267,Private Limited Company,United Kingdom,19/09/2024,http://business.data.gov.uk/id/company/SC823267,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,30300 - Manufacture of air and spacecraft and related machinery | nan | nan | nan,30300.0,30300 - Manufacture of air and spacecraft and related machinery,High,Tier 1,ONS SIC 2007 index: space shuttles (manufacture),,Yes,,,,,5 GATEWAY COURT,EASTWORKS,GLASGOW,,SCOTLAND,G40 4DS,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,SIMERA SENSE UK LTD,active,ltd,30300,G40 4DS,Glasgow,,Scotland,2024-09-19,review,SIC 30300 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.911953368973986,2026-07-23,v2,SIC 30300 — no space keyword — aviation default
SIMIR AVIATION LTD,SIMIR AVIATION LTD,15756207,Private Limited Company,United Kingdom,02/06/2024,http://business.data.gov.uk/id/company/15756207,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,33160 - Repair and maintenance of aircraft and spacecraft | nan | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,35 UXBRIDGE LANE KINGSWAY,QUEDGELEY,GLOUCESTER,,ENGLAND,GL2 2EY,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,SIMIR AVIATION LTD,active,ltd,33160,GL2 2EY,Gloucester,,England,2024-06-02,review,SIC 33160 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.528608798964457,2026-07-23,v2,SIC 33160 — no space keyword — aviation default
SIMMONDS PRECISION LIMITED,SIMMONDS PRECISION LIMITED,02283176,Private Limited Company,United Kingdom,02/08/1988,http://business.data.gov.uk/id/company/02283176,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,30300 - Manufacture of air and spacecraft and related machinery | nan | nan | nan,30300.0,30300 - Manufacture of air and spacecraft and related machinery,High,Tier 1,ONS SIC 2007 index: space shuttles (manufacture),,Yes,,,,,"FORE 1, FORE BUSINESS PARK HUSKISSON WAY",SHIRLEY,SOLIHULL,WEST MIDLANDS,,B90 4SS,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,SIMMONDS PRECISION LIMITED,active,ltd,30300,B90 4SS,Solihull,West Midlands,,1988-08-02,review,SIC 30300 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.8324234623542447,2026-07-23,v2,SIC 30300 — no space keyword — aviation default
SIMPSONWRIGHT AERO LTD,SIMPSONWRIGHT AERO LTD,07258746,Private Limited Company,United Kingdom,19/05/2010,http://business.data.gov.uk/id/company/07258746,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,30300 - Manufacture of air and spacecraft and related machinery | nan | nan | nan,30300.0,30300 - Manufacture of air and spacecraft and related machinery,High,Tier 1,ONS SIC 2007 index: space shuttles (manufacture),,Yes,,,,,3 THE RYDALES,,HULL,,,HU5 1QD,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,SIMPSONWRIGHT AERO LTD,active,ltd,30300,HU5 1QD,Hull,,,2010-05-19,review,SIC 30300 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.8656631637776697,2026-07-23,v2,SIC 30300 — no space keyword — aviation default
SIOAIR LTD,SIOAIR LTD,15493694,Private Limited Company,United Kingdom,16/02/2024,http://business.data.gov.uk/id/company/15493694,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,29100 - Manufacture of motor vehicles | 29320 - Manufacture of other parts and accessories for motor vehicles | 30300 - Manufacture of air and spacecraft and related machinery | nan,30300.0,30300 - Manufacture of air and spacecraft and related machinery,High,Tier 1,ONS SIC 2007 index: space shuttles (manufacture),,Yes,,,,,3 ANDERSON COURT,NEWNHAM ROAD,CAMBRIDGE,CAMBRIDGESHIRE,ENGLAND,CB3 9EZ,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,SIOAIR LTD,active,ltd,"29100, 29320, 30300",CB3 9EZ,Cambridge,Cambridgeshire,England,2024-02-16,review,SIC 30300 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.8662765034402984,2026-07-23,v2,SIC 30300 — no space keyword — aviation default
SIONOSA AIRLANDTRANS LTD,SIONOSA AIRLANDTRANS LTD,17199627,Private Limited Company,United Kingdom,05/05/2026,http://business.data.gov.uk/id/company/17199627,N3,Satellite and Spacecraft Manufacturing,Upstream,,Yes,,33160 - Repair and maintenance of aircraft and spacecraft | 33170 - Repair and maintenance of other transport equipment n.e.c. | nan | nan,33160.0,33160 - Repair and maintenance of aircraft and spacecraft,Medium,Tier 1,ONS SIC 2007 index: repair and maintenance of aero-space equipment. Also confirmed by SIC 2026 33.16: repair and maintenance of civilian air and spacecraft. OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 33.16.,Integration and supply of full space systems,Yes,,,,,1 HUNTER ROAD,OLD CATTON,NORWICH,,ENGLAND,NR6 7GF,Yes,,,,,,,Yes,Yes,Merged from: Source 1 (CH Bulk) . Node from S1 SIC. Address from S1 CH.,2026-07-23,CH_BULK,CH,Low,,SIONOSA AIRLANDTRANS LTD,active,ltd,"33160, 33170",NR6 7GF,Norwich,,England,2026-05-05,review,SIC 33160 confirmed by ONS SIC 2026 to contain both civilian and military manufacturers. Needs website review for defence_primary assessment.,2026-07-23,,,,0.5570261505873559,2026-07-23,v2,SIC 33160 — no space keyword — aviation default
